[1, 20] 7.438383530044307
[20, 39] 8.036249942132116
[39, 58] 7.957177323459475
[58, 77] 7.719129840906732
[77, 96] 7.313886831633462
[96, 115] 6.931471805599453
[115, 134] 6.612041034833092
[134, 153] 6.230481447578482
[153, 172] 5.814130531825066
[172, 191] 5.583496308781699
[191, 210] 4.9344739331306915
[210, 229] 4.795790545596741
[229, 248] 4.5217885770490405
[248, 267] 4.394449154672439
[267, 286] 4.060443010546419
[286, 305] 3.367295829986474
[305, 324] 2.8903717578961645
[324, 348] 2.70805020110221
[348, 368] 2.9444389791664403
[368, 387] 2.3978952727983707
[387, 411] 2.1972245773362196
[411, 432] 1.791759469228055
[432, 452] 1.791759469228055
[452, 479] 1.6094379124341003
[479, 555] 0.0
[555, 665] 0.6931471805599453
[665, 767] 0.0
[767, 2625] 0.0
