[1, 32] 8.196161139282902
[32, 63] 8.455104999102815
[63, 94] 7.988542982737695
[94, 125] 7.370860166536716
[125, 156] 6.7650389767805414
[156, 187] 6.218600119691729
[187, 218] 5.476463551931511
[218, 249] 5.093750200806762
[249, 280] 4.7535901911063645
[280, 311] 3.970291913552122
[311, 342] 3.258096538021482
[342, 374] 3.2188758248682006
[374, 405] 2.6390573296152584
[405, 437] 2.4849066497880004
[437, 479] 1.791759469228055
[479, 555] 0.0
[555, 665] 0.6931471805599453
[665, 767] 0.0
[767, 2625] 0.0
