[1, 16] 7.1276936993473985
[16, 31] 7.696667081526462
[31, 46] 7.80057265467065
[46, 61] 7.690286020676768
[61, 76] 7.4570320891223805
[76, 91] 7.1316985104669115
[91, 106] 6.8308742346461795
[106, 121] 6.54965074223381
[121, 136] 6.297109319933935
[136, 151] 6.0063531596017325
[151, 166] 5.627621113690637
[166, 181] 5.4510384535657
[181, 196] 5.1647859739235145
[196, 211] 4.653960350157523
[211, 226] 4.574710978503383
[226, 241] 4.290459441148391
[241, 256] 4.30406509320417
[256, 271] 4.007333185232471
[271, 286] 3.784189633918261
[286, 301] 3.258096538021482
[301, 317] 2.772588722239781
[317, 334] 2.6390573296152584
[334, 350] 2.0794415416798357
[350, 366] 2.772588722239781
[366, 381] 2.1972245773362196
[381, 399] 1.9459101490553132
[399, 414] 2.0794415416798357
[414, 432] 1.0986122886681098
[432, 452] 1.791759469228055
[452, 479] 1.6094379124341003
[479, 555] 0.0
[555, 665] 0.6931471805599453
[665, 767] 0.0
[767, 2625] 0.0
