[1, 27] 7.930565854233965
[27, 53] 8.330140460246382
[53, 79] 8.054522609537294
[79, 105] 7.527255919373784
[105, 131] 7.035268599281097
[131, 157] 6.508769136971682
[157, 183] 6.0473721790462776
[183, 209] 5.484796933490655
[209, 235] 5.056245805348308
[235, 261] 4.812184355372417
[261, 288] 4.430816798843313
[288, 314] 3.6635616461296463
[314, 341] 2.8903717578961645
[341, 368] 3.091042453358316
[368, 395] 2.6390573296152584
[395, 425] 2.3978952727983707
[425, 452] 1.9459101490553132
[452, 479] 1.6094379124341003
[479, 555] 0.0
[555, 665] 0.6931471805599453
[665, 767] 0.0
[767, 2625] 0.0
