[1, 19] 7.364547014255642
[19, 37] 7.965545573129992
[37, 55] 7.9294865233142895
[55, 73] 7.731492029245684
[73, 91] 7.341483852363161
[91, 109] 6.9874902470009905
[109, 127] 6.698268054115413
[127, 145] 6.289715570908998
[145, 163] 5.8944028342648505
[163, 181] 5.666426688112432
[181, 199] 5.288267030694535
[199, 217] 4.762173934797756
[217, 235] 4.634728988229636
[235, 253] 4.48863636973214
[253, 271] 4.276666119016055
[271, 289] 3.8501476017100584
[289, 308] 3.4339872044851463
[308, 326] 2.8903717578961645
[326, 348] 2.302585092994046
[348, 366] 2.8903717578961645
[366, 384] 2.3978952727983707
[384, 402] 2.0794415416798357
[402, 420] 1.791759469228055
[420, 452] 2.0794415416798357
[452, 479] 1.6094379124341003
[479, 555] 0.0
[555, 665] 0.6931471805599453
[665, 767] 0.0
[767, 2625] 0.0
