[1, 22] 7.596392304064196
[22, 43] 8.145839612936841
[43, 64] 8.021912778985708
[64, 85] 7.639642287858013
[85, 106] 7.257707677160043
[106, 127] 6.875232087276577
[127, 148] 6.418364935936212
[148, 169] 5.993961427306569
[169, 190] 5.707110264748875
[190, 211] 5.049856007249537
[211, 232] 4.8283137373023015
[232, 253] 4.624972813284271
[253, 274] 4.382026634673881
[274, 295] 3.9889840465642745
[295, 317] 3.1780538303479458
[317, 338] 2.70805020110221
[338, 359] 2.8903717578961645
[359, 380] 2.5649493574615367
[380, 401] 2.302585092994046
[401, 425] 2.0794415416798357
[425, 452] 1.9459101490553132
[452, 479] 1.6094379124341003
[479, 555] 0.0
[555, 665] 0.6931471805599453
[665, 767] 0.0
[767, 2625] 0.0
