[1, 28] 7.988542982737695
[28, 55] 8.364042011922063
[55, 82] 8.03365842788615
[82, 109] 7.507690077819904
[109, 136] 6.98933526597456
[136, 163] 6.4425401664681985
[163, 190] 6.023447592961033
[190, 217] 5.25227342804663
[217, 244] 4.997212273764115
[244, 271] 4.7535901911063645
[271, 298] 4.174387269895637
[298, 325] 3.332204510175204
[325, 352] 2.995732273553991
[352, 379] 2.8903717578961645
[379, 411] 2.6390573296152584
[411, 452] 2.4849066497880004
[452, 479] 1.6094379124341003
[479, 555] 0.0
[555, 665] 0.6931471805599453
[665, 767] 0.0
[767, 2625] 0.0
