[1, 17] 7.2078598714324755
[17, 33] 7.803843303538772
[33, 49] 7.841099765422119
[49, 65] 7.7284157798410416
[65, 81] 7.3901814282264295
[81, 97] 7.106606137727303
[97, 113] 6.775366090936392
[113, 129] 6.519147287940395
[129, 145] 6.180016653652572
[145, 161] 5.783825182329737
[161, 177] 5.572154032177765
[177, 193] 5.365976015021851
[193, 209] 4.709530201312334
[209, 225] 4.718498871295094
[225, 241] 4.343805421853684
[241, 257] 4.382026634673881
[257, 273] 3.9889840465642745
[273, 289] 3.7376696182833684
[289, 305] 3.258096538021482
[305, 321] 2.772588722239781
[321, 338] 2.4849066497880004
[338, 354] 2.70805020110221
[354, 370] 2.4849066497880004
[370, 387] 2.0794415416798357
[387, 405] 2.0794415416798357
[405, 425] 1.791759469228055
[425, 452] 1.9459101490553132
[452, 479] 1.6094379124341003
[479, 555] 0.0
[555, 665] 0.6931471805599453
[665, 767] 0.0
[767, 2625] 0.0
