[1, 25] 7.807510042216193
[25, 49] 8.264620829411216
[49, 73] 8.062432791583195
[73, 97] 7.569927655242652
[97, 121] 7.113956109566034
[121, 145] 6.694562058521095
[145, 169] 6.163314804034641
[169, 193] 5.7899601708972535
[193, 217] 5.10594547390058
[217, 241] 4.90527477843843
[241, 265] 4.718498871295094
[265, 289] 4.1588830833596715
[289, 313] 3.5263605246161616
[313, 338] 2.995732273553991
[338, 363] 3.044522437723423
[363, 387] 2.6390573296152584
[387, 411] 2.1972245773362196
[411, 435] 2.302585092994046
[435, 459] 1.6094379124341003
[459, 555] 1.0986122886681098
[555, 665] 0.6931471805599453
[665, 767] 0.0
[767, 2625] 0.0
