[1, 18] 7.284134806195205
[18, 35] 7.888334500738654
[35, 52] 7.88193748927207
[52, 69] 7.752335163302292
[69, 86] 7.350516171833998
[86, 103] 7.063903961472068
[103, 120] 6.70808408385307
[120, 137] 6.418364935936212
[137, 154] 6.07993319509559
[154, 171] 5.713732805509369
[171, 188] 5.5134287461649825
[188, 205] 4.969813299576001
[205, 222] 4.6913478822291435
[222, 239] 4.430816798843313
[239, 256] 4.454347296253507
[256, 273] 4.0943445622221
[273, 290] 3.784189633918261
[290, 308] 3.367295829986474
[308, 325] 2.70805020110221
[325, 342] 2.4849066497880004
[342, 359] 2.6390573296152584
[359, 379] 2.4849066497880004
[379, 399] 2.1972245773362196
[399, 420] 2.1972245773362196
[420, 437] 1.9459101490553132
[437, 454] 0.6931471805599453
[454, 479] 1.3862943611198906
[479, 555] 0.0
[555, 665] 0.6931471805599453
[665, 767] 0.0
[767, 2625] 0.0
