[1, 15] 7.0431599159883405
[15, 29] 7.59337419312129
[29, 43] 7.745002803515839
[43, 57] 7.631916513071252
[57, 71] 7.498869733976931
[71, 85] 7.136483208590247
[85, 99] 6.942156705699469
[99, 113] 6.593044534142437
[113, 127] 6.432940092739179
[127, 141] 6.049733455231958
[141, 155] 5.811140992976701
[155, 169] 5.545177444479562
[169, 183] 5.2832037287379885
[183, 197] 5.117993812416755
[197, 211] 4.532599493153256
[211, 225] 4.532599493153256
[225, 239] 4.174387269895637
[239, 253] 4.23410650459726
[253, 267] 4.060443010546419
[267, 281] 3.8066624897703196
[281, 295] 3.4339872044851463
[295, 311] 2.833213344056216
[311, 325] 2.6390573296152584
[325, 339] 2.1972245773362196
[339, 354] 2.6390573296152584
[354, 368] 2.1972245773362196
[368, 383] 2.1972245773362196
[383, 399] 1.791759469228055
[399, 413] 1.9459101490553132
[413, 432] 1.3862943611198906
[432, 452] 1.791759469228055
[452, 479] 1.6094379124341003
[479, 555] 0.0
[555, 665] 0.6931471805599453
[665, 767] 0.0
[767, 2625] 0.0
