[1, 31] 8.145259566516865
[31, 61] 8.44009614103127
[61, 91] 8.000684784514748
[91, 121] 7.393263094763838
[121, 151] 6.855408798609928
[151, 181] 6.236369590203704
[181, 211] 5.634789603169249
[211, 241] 5.135798437050262
[241, 271] 4.859812404361672
[271, 301] 4.248495242049359
[301, 334] 3.4011973816621555
[334, 364] 3.1354942159291497
[364, 395] 2.772588722239781
[395, 425] 2.3978952727983707
[425, 456] 2.1972245773362196
[456, 555] 1.3862943611198906
[555, 665] 0.6931471805599453
[665, 767] 0.0
[767, 2625] 0.0
