[1, 29] 8.048788283534199
[29, 57] 8.38320455141292
[57, 85] 8.027150106832774
[85, 113] 7.475905969367397
[113, 141] 6.952728644624869
[141, 169] 6.380122536899765
[169, 197] 5.8971538676367405
[197, 225] 5.225746673713202
[225, 253] 4.897839799950911
[253, 281] 4.634728988229636
[281, 311] 3.871201010907891
[311, 339] 3.1354942159291497
[339, 368] 3.1354942159291497
[368, 399] 2.70805020110221
[399, 432] 2.3978952727983707
[432, 460] 2.302585092994046
[460, 555] 0.6931471805599453
[555, 665] 0.6931471805599453
[665, 767] 0.0
[767, 2625] 0.0
