[1, 30] 8.09376775793108
[30, 59] 8.413387022690648
[59, 88] 8.024534871605695
[88, 117] 7.418780882750794
[117, 146] 6.917705609835305
[146, 175] 6.284134161070802
[175, 204] 5.817111159963204
[204, 233] 5.135798437050262
[233, 262] 4.90527477843843
[262, 291] 4.442651256490317
[291, 321] 3.6109179126442243
[321, 350] 2.9444389791664403
[350, 379] 3.1354942159291497
[379, 411] 2.6390573296152584
[411, 452] 2.4849066497880004
[452, 555] 1.791759469228055
[555, 665] 0.6931471805599453
[665, 767] 0.0
[767, 2625] 0.0
