[1, 23] 7.669495251007694
[23, 45] 8.190354403763262
[45, 67] 8.041091003708633
[67, 89] 7.628031126930335
[89, 111] 7.190676034332207
[111, 133] 6.799055862058796
[133, 155] 6.359573868672378
[155, 177] 5.910796644040527
[177, 199] 5.568344503761097
[199, 221] 5.003946305945459
[221, 243] 4.709530201312334
[243, 265] 4.6443908991413725
[265, 288] 4.143134726391533
[288, 311] 3.4965075614664802
[311, 334] 3.044522437723423
[334, 359] 2.9444389791664403
[359, 381] 2.6390573296152584
[381, 405] 2.3978952727983707
[405, 432] 1.9459101490553132
[432, 454] 1.9459101490553132
[454, 479] 1.3862943611198906
[479, 555] 0.0
[555, 665] 0.6931471805599453
[665, 767] 0.0
[767, 2625] 0.0
