[1, 26] 7.874358824729881
[26, 51] 8.292298107063221
[51, 76] 8.066521490469993
[76, 101] 7.553286605600419
[101, 126] 7.084226422097916
[126, 151] 6.586171654854675
[151, 176] 6.056784013228625
[176, 201] 5.700443573390687
[201, 226] 5.087596335232384
[226, 251] 4.804021044733257
[251, 276] 4.553876891600541
[276, 301] 4.007333185232471
[301, 326] 3.258096538021482
[326, 351] 2.70805020110221
[351, 379] 2.995732273553991
[379, 405] 2.5649493574615367
[405, 432] 1.9459101490553132
[432, 459] 2.1972245773362196
[459, 555] 1.0986122886681098
[555, 665] 0.6931471805599453
[665, 767] 0.0
[767, 2625] 0.0
